Vehicle Plate,State,Current State Since (HH:MM:SS),Device Status,Time,Odometer (km),Engine Hours (hrs),Fuel Level (Lts),Updated On,Adblue Level (Lts),Updated On.1,In Hub,In Hub Since (HH:MM:SS),Closest Hub,Address
HR38AF9143,IDLING,00:00:55,Connected,October 10 2024 02:10 pm,50631,1928.016111,237,October 10 2024 02:03 pm,48,October 10 2024 02:00 pm,NTPC loading,00:19:49,-,"F9JF+VX, IGSTPP, Haryana 124141, India"
HR38AF0292,STOPPED,01:23:42,Connected,October 10 2024 02:05 pm,46614,1942.548611,99,October 10 2024 12:50 pm,27,October 10 2024 01:44 am,JK CEMENT WORKS MANGROL LOADING AREA,12:33:53,-,"Unnamed Road, Rajasthan 312620, India"
HR38AF7817,IDLING,00:07:53,Connected,October 10 2024 02:15 pm,55525,2133.086111,310,October 10 2024 02:12 pm,24,October 10 2024 01:56 pm,SHREE CEMENT LIMITED (Ras) Loading area,18:15:24,-,"Unnamed Road, Bhil Deva, Rajasthan 306101, India"
HR38AF5180,MOVING,00:02:44,Connected,October 10 2024 02:15 pm,58755,2003.299722,387,October 10 2024 02:13 pm,43,October 10 2024 02:03 pm,NTPC parking,06:06:52,-,"Unnamed Road, IGSTPP, Haryana 123303, India"
HR38AE1334,STOPPED,00:56:13,No External Power,October 10 2024 02:15 pm,87889,3085.550833,140,October 10 2024 01:16 pm,29,October 10 2024 01:19 pm,S P Singla Constructions Pvt. Ltd. (Sultanpur Lodhi PB),146:08:55,-,"75GQ+QJ Sahlapur Bet, Punjab, India"
HR38AD8656,STOPPED,20:02:27,Connected,October 10 2024 02:08 pm,98254,3226.719722,147,October 09 2024 06:08 pm,51,October 09 2024 06:07 pm,SAPL parking,20:08:57,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38AC3789,STOPPED,10:16:13,Connected,October 10 2024 02:12 pm,132456,4717.658611,268,October 09 2024 04:43 pm,48,October 09 2024 04:38 pm,SAPL parking,21:36:56,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38X0410,STOPPED,00:01:19,Connected,October 10 2024 02:13 pm,194557,9289.95,-,-,-,-,Qumax Engineering & Consultancy,00:05:41,-,"Gurjar Vijay Singh Pathik Marg, Haryana 122102, India"
HR38X6890,STOPPED,00:03:57,Connected,October 10 2024 02:12 pm,212775,10247.75,-,-,-,-,SAPL JHARLI OFFICE,00:05:07,-,"MDR130, IGSTPP, Haryana 124142, India"
HR38W4386,STOPPED,14:47:16,Connected,October 10 2024 02:07 pm,136642,7364.15,-,-,-,-,-,-,0 km from Shree Ashtech Pvt Ltd Plant,"F9PQ+7J IGSTPP, Haryana, India"
HR38X9022,STOPPED,00:08:15,Connected,October 10 2024 02:14 pm,225558,8981.45,400,October 10 2024 11:55 am,-,-,-,-,0.1 km from SAHNI ROADWAYS,"Unnamed Road, Haryana 124106, India"
HR38X7383,MOVING,00:02:35,Connected,October 10 2024 02:08 pm,-,-,-,-,-,-,Magicrete Building Solutions Pvt Ltd,04:02:37,-,"Unnamed Road, Haryana 124106, India"
HR38X3228,MOVING,00:00:48,Connected,October 10 2024 02:15 pm,-,-,-,-,-,-,-,-,1 km from ZIP Enterprises Private Limited,"Matanhail Main Rd, Matanhail, Haryana 124106, India"
HR38X4879,MOVING,00:06:14,No External Power,October 10 2024 02:15 pm,108817,8902.35,400,July 04 2024 02:34 pm,-,-,-,-,0.4 km from jk super parking,"Unnamed Road, IGSTPP, Haryana 123303, India"
HR38X6226,MOVING,00:03:42,Connected,October 10 2024 02:16 pm,219659,9316.05,400,October 10 2024 02:15 pm,-,-,SAPL JHARLI OFFICE,00:01:02,-,"MDR130, IGSTPP, Haryana 124142, India"
HR38W9246,PARKED,915:46:45,Connected,September 02 2024 10:12 am,-,-,-,-,-,-,-,-,0.1 km from Shree Ashtech Pvt Ltd Plant,"F9PQ+7J IGSTPP, Haryana, India"
HR38V8601,STOPPED,04:39:43,Connected,October 10 2024 02:09 pm,-,-,-,-,-,-,CLP Parking,04:45:26,-,"CLP MGSTPP, India"
HR38U2988,STOPPED,00:26:51,Connected,October 10 2024 02:13 pm,-,-,-,-,-,-,SAPL parking,00:32:35,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38U4871,STOPPED,01:37:21,Connected,October 10 2024 01:59 pm,-,-,-,-,-,-,-,-,0.4 km from RANSINGH FILLING STATION,"MDR130, Khorra -N, Haryana 124142, India"
HR38U2192,PARKED,232:41:26,Connected,September 30 2024 09:26 pm,-,-,-,-,-,-,SAPL parking,238:10:36,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38U7325,MOVING,00:22:05,Connected,October 10 2024 02:15 pm,-,-,-,-,-,-,-,-,2 km from ZIP Enterprises Private Limited,"Matanhail Main Rd, Matanhail, Haryana 124106, India"
HR38U2371,STOPPED,07:25:19,Connected,October 10 2024 02:15 pm,-,-,-,-,-,-,Ultratech Cement Ltd(Jharli Plant) parking area,07:36:03,-,"Unnamed Road, Jhamri, Haryana 124142, India"
HR38U3804,STOPPED,00:04:37,Connected,October 10 2024 02:16 pm,-,-,-,-,-,-,Wonder Cement Ltd (Jhanswa),06:29:32,-,"Unnamed Road, Haryana, India"
